@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,1,9,1,3,2,0.4,4591600,T3,I,4,16,7,yes
1,0,1,9,1,3,2,0.4,4591600,T3,I,4,16,7,yes
1,0,1,9,1,3,2,0.4,4591600,T3,I,4,16,7,yes
1,0,1,9,1,3,2,0.4,4591600,T3,I,4,16,7,yes
1,0,1,9,1,3,2,0.4,4591600,T3,I,4,16,7,yes
1,0,1,9,1,3,2,0.4,4591600,T3,I,4,16,7,yes
1,0,1,9,1,3,2,0.4,4591600,T3,I,4,16,7,yes
1,0,1,9,1,3,2,0.4,4591600,T3,I,4,16,7,yes
1,0,1,9,1,3,2,0.4,4591600,T3,I,4,16,7,yes
1,0,1,9,1,3,2,0.4,4591600,T3,I,4,16,7,yes
1,0,1,9,1,3,2,0.4,4591600,T3,I,4,16,7,no
1,0,1,9,1,3,2,0.4,4591600,T3,I,4,16,7,no
1,0,1,9,1,3,2,0.4,4591600,T3,I,4,16,7,no
1,0,1,9,1,3,2,0.4,4591600,T5,I,4,16,7,yes
1,0,1,9,1,3,2,0.4,4591600,T5,I,4,16,7,yes
1,0,1,9,1,3,2,0.4,4591600,T5,I,4,16,7,yes
1,0,1,9,1,3,2,0.4,4591600,T5,I,4,16,7,yes
1,0,1,9,1,3,2,0.4,4591600,T5,I,4,16,7,no
1,0,1,9,1,3,2,0.4,4591600,T5,I,4,16,7,yes
1,0,1,9,1,3,2,0.4,4591600,T5,I,4,16,7,no
1,0,1,9,1,3,2,0.4,4591600,T5,I,4,16,7,yes
1,0,1,9,1,3,2,0.4,4591600,T5,I,4,16,7,yes
1,0,1,9,1,3,2,0.4,4591600,T5,I,4,16,7,yes
1,0,1,9,1,3,2,0.4,4591600,T5,I,4,16,7,yes
1,0,1,9,1,3,2,0.4,4591600,T5,I,4,16,7,yes
1,0,1,9,1,3,2,0.4,4591600,T5,I,4,16,7,yes
1,0,1,9,1,3,2,0.4,4591600,T5,I,4,16,7,yes
1,0,1,9,1,3,2,0.4,4591600,T5,I,4,16,7,yes
1,0,1,9,1,3,2,0.4,4591600,T5,I,4,16,7,no
1,0,1,9,1,3,2,0.4,4591600,T5,I,4,16,7,no
1,0,1,9,1,3,2,0.4,4591600,T5,I,4,16,7,no
1,0,1,9,1,3,2,0.4,4591600,T5,I,4,16,7,yes
1,0,1,9,1,3,2,0.4,4591600,T9,I,4,16,7,yes
1,0,5,37,2,3,2,0.4,2566358080,T0,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,754811200,T0,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,150962240,T0,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2566358080,T0,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2566358080,T2,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,754811200,T2,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,150962240,T2,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2566358080,T2,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,150962240,T3,V,4,16,7,no
1,0,5,37,2,3,2,0.4,150962240,T3,V,4,16,7,no
1,0,5,37,2,3,2,0.4,2566358080,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2566358080,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,150962240,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,150962240,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,150962240,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,754811200,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,150962240,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,150962240,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2566358080,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2566358080,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T3,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T5,V,4,16,7,no
1,0,5,37,2,3,2,0.4,2415395840,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T5,V,4,16,7,no
1,0,5,37,2,3,2,0.4,2415395840,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,2415395840,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
1,0,5,37,2,3,2,0.4,603848960,T5,V,4,16,7,yes
