@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,3,16,4,5,4,0.444,8,T7,method,2,5,1,yes
1,0,3,16,4,5,4,0.444,8,T7,method,2,5,1,yes
1,0,3,16,4,5,4,0.444,20,T8,method,3,6,1,yes
1,0,3,16,4,5,4,0.444,20,T8,method,3,6,1,yes
1,0,3,16,4,5,4,0.444,20,T8,method,3,6,1,yes
1,0,3,16,4,5,4,0.444,20,T8,method,3,6,1,yes
1,0,3,16,4,5,4,0.444,20,T9,method,3,6,1,yes
1,0,1,3,1,5,4,0.444,28,T9,method,3,6,1,yes
1,0,1,3,1,5,4,0.444,0,T9,method,0,0,1,no
1,0,1,3,1,5,4,0.444,104,T9,method,18,20,1,yes
1,0,2,8,3,5,4,0.444,8,T3,Z,2,2,1,yes
1,0,2,8,3,5,4,0.444,188,T6,Z,25,29,1,yes
1,0,2,8,3,5,4,0.444,36,T6,Z,9,9,1,yes
1,0,2,8,3,5,4,0.444,188,T7,Z,25,29,1,yes
1,0,2,8,3,5,4,0.444,188,T7,Z,25,29,1,yes
1,0,2,8,3,5,4,0.444,188,T7,Z,25,29,1,yes
1,0,2,8,3,5,4,0.444,36,T7,Z,9,9,1,yes
1,0,2,8,3,5,4,0.444,180,T7,Z,25,29,1,yes
1,0,2,8,3,5,4,0.444,188,T8,Z,25,29,1,yes
1,0,2,8,3,5,4,0.444,36,T8,Z,9,9,1,yes
1,0,2,8,3,5,4,0.444,8,T9,Z,2,2,1,yes
1,0,2,8,3,5,4,0.444,180,T9,Z,25,29,1,yes
1,0,1,4,1,5,4,0.444,0,T3,V,0,0,1,no
1,0,1,4,1,5,4,0.444,0,T10,V,0,0,1,no
1,0,1,3,1,5,4,0.444,28,T3,Z,5,6,1,yes
1,0,1,3,1,5,4,0.444,28,T3,Z,5,6,1,yes
1,0,1,3,1,5,4,0.444,28,T6,Z,5,6,1,yes
1,0,1,3,1,5,4,0.444,28,T6,Z,5,6,1,yes
1,0,1,3,1,5,4,0.444,28,T6,Z,5,6,1,yes
1,0,1,3,1,5,4,0.444,28,T7,Z,5,6,1,yes
1,0,1,3,1,5,4,0.444,28,T7,Z,5,6,1,yes
1,0,1,3,1,5,4,0.444,28,T8,Z,5,6,1,yes
1,0,1,3,1,5,4,0.444,28,T8,Z,5,6,1,yes
1,0,1,3,1,5,4,0.444,28,T8,Z,5,6,1,no
1,0,1,3,1,5,4,0.444,28,T9,Z,5,6,1,yes
1,0,1,3,1,5,4,0.444,60,T12,V,15,19,1,yes
1,0,3,7,2,5,4,0.444,64,T6,method,14,14,1,yes
1,0,3,7,2,5,4,0.444,64,T6,method,14,14,1,yes
1,0,3,7,2,5,4,0.444,64,T7,method,14,14,1,yes
1,0,3,7,2,5,4,0.444,8,T7,method,2,2,1,yes
1,0,3,7,2,5,4,0.444,64,T8,method,14,14,1,no
1,0,3,7,2,5,4,0.444,64,T8,method,14,14,1,yes
1,0,3,7,2,5,4,0.444,64,T9,method,14,14,1,yes
1,0,5,16,3,5,4,0.444,52,T0,method,13,13,1,yes
1,0,5,16,3,5,4,0.444,52,T1,method,13,13,1,yes
1,0,5,16,3,5,4,0.444,0,T1,method,0,0,1,no
1,0,5,16,3,5,4,0.444,0,T1,method,0,0,1,no
1,0,5,16,3,5,4,0.444,52,T3,method,13,13,1,yes
1,0,5,16,3,5,4,0.444,52,T3,method,13,13,1,yes
1,0,5,16,3,5,4,0.444,64,T6,method,14,14,1,yes
1,0,5,16,3,5,4,0.444,52,T6,method,13,13,1,yes
1,0,5,16,3,5,4,0.444,56,T6,method,13,13,1,yes
1,0,5,16,3,5,4,0.444,52,T6,method,13,13,1,yes
1,0,5,16,3,5,4,0.444,52,T6,method,13,13,1,yes
1,0,5,16,3,5,4,0.444,64,T7,method,14,14,1,yes
1,0,5,16,3,5,4,0.444,52,T7,method,13,13,1,yes
1,0,5,16,3,5,4,0.444,52,T7,method,13,13,1,yes
1,0,5,16,3,5,4,0.444,52,T7,method,13,13,1,yes
1,0,5,16,3,5,4,0.444,56,T7,method,13,13,1,yes
1,0,5,16,3,5,4,0.444,48,T7,method,12,12,1,yes
1,0,5,16,3,5,4,0.444,52,T7,method,13,13,1,no
1,0,5,16,3,5,4,0.444,0,T7,method,0,0,1,no
1,0,5,16,3,5,4,0.444,0,T7,method,0,0,1,no
1,0,5,16,3,5,4,0.444,0,T7,method,0,0,1,no
1,0,5,16,3,5,4,0.444,0,T7,method,0,0,1,no
1,0,5,16,3,5,4,0.444,0,T7,method,0,0,1,no
1,0,5,16,3,5,4,0.444,0,T7,method,0,0,1,no
1,0,5,16,3,5,4,0.444,52,T7,method,13,13,1,yes
1,0,5,16,3,5,4,0.444,52,T7,method,13,13,1,yes
1,0,5,16,3,5,4,0.444,64,T8,method,14,14,1,yes
1,0,5,16,3,5,4,0.444,52,T8,method,13,13,1,yes
1,0,5,16,3,5,4,0.444,56,T8,method,13,13,1,yes
1,0,5,16,3,5,4,0.444,52,T8,method,13,13,1,yes
1,0,5,16,3,5,4,0.444,12,T9,method,3,3,1,yes
1,0,5,16,3,5,4,0.444,52,T9,method,13,13,1,yes
1,0,1,3,1,5,4,0.444,0,T1,V,0,0,1,no
1,0,2,21,2,5,4,0.444,76,T1,V,19,23,1,no
1,0,2,21,2,5,4,0.444,76,T1,V,19,23,1,yes
1,0,2,21,2,5,4,0.444,76,T1,V,19,23,1,yes
1,0,2,21,2,5,4,0.444,76,T1,V,19,23,1,yes
1,0,2,21,2,5,4,0.444,4,T1,V,1,2,1,yes
1,0,2,21,2,5,4,0.444,4,T3,V,1,2,1,no
1,0,2,21,2,5,4,0.444,76,T6,V,19,23,1,yes
1,0,2,21,2,5,4,0.444,76,T7,V,19,23,1,yes
1,0,2,21,2,5,4,0.444,4,T7,V,1,2,1,yes
1,0,2,21,2,5,4,0.444,76,T8,V,19,23,1,yes
1,0,2,21,2,5,4,0.444,76,T10,V,19,23,1,yes
1,0,2,21,2,5,4,0.444,4,T10,V,1,2,1,yes
1,0,2,21,2,5,4,0.444,76,T12,V,19,23,1,no
1,0,2,21,2,5,4,0.444,76,T12,V,19,23,1,yes
1,0,2,21,2,5,4,0.444,76,T12,V,19,23,1,yes
1,0,2,21,2,5,4,0.444,76,T12,V,19,23,1,yes
1,0,2,21,2,5,4,0.444,76,T1,V,19,23,1,no
1,0,1,6,1,5,4,0.444,0,T10,V,0,0,1,no
1,0,2,21,2,5,4,0.444,76,T12,V,19,23,1,no
1,0,1,6,1,5,4,0.444,0,T12,V,0,0,1,no
1,0,1,6,1,5,4,0.444,0,T12,V,0,0,1,no
1,0,1,6,1,5,4,0.444,0,T12,V,0,0,1,no
1,0,1,3,1,5,4,0.444,0,T7,Z,0,0,1,no
