@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
4,0,19,67,4,2,5,0.714,0,T7,method,6,16,0,no
4,0,19,67,4,2,5,0.714,0,T7,method,3,10,0,no
4,0,19,67,4,2,5,0.714,0,T7,method,0,0,0,no
4,0,19,67,4,2,5,0.714,0,T7,method,0,0,0,no
4,0,19,67,4,2,5,0.714,0,T7,method,5,15,0,no
4,0,19,67,4,2,5,0.714,0,T7,method,6,16,0,no
4,0,19,67,4,2,5,0.714,0,T7,method,6,16,0,no
4,0,19,67,4,2,5,0.714,0,T7,method,0,0,0,no
4,0,19,67,4,2,5,0.714,0,T7,method,0,0,0,no
4,0,19,67,4,2,5,0.714,0,T7,method,2,2,0,no
4,0,19,67,4,2,5,0.714,0,T7,method,1,1,0,no
4,0,19,67,4,2,5,0.714,0,T7,method,2,2,0,no
4,0,19,67,4,2,5,0.714,0,T7,method,2,2,0,no
4,0,19,67,4,2,5,0.714,0,T7,method,6,16,0,no
4,0,19,67,4,2,5,0.714,0,T8,method,6,16,0,no
4,0,19,67,4,2,5,0.714,0,T8,method,6,16,0,no
4,0,19,67,4,2,5,0.714,0,T8,method,6,16,0,no
4,0,19,67,4,2,5,0.714,0,T8,method,6,16,0,no
4,0,19,67,4,2,5,0.714,0,T8,method,6,16,0,no
4,0,19,67,4,2,5,0.714,0,T8,method,6,16,0,no
4,0,19,67,4,2,5,0.714,0,T8,method,2,2,0,no
4,0,19,67,4,2,5,0.714,0,T8,method,2,2,0,no
4,0,19,67,4,2,5,0.714,0,T8,method,6,16,0,no
4,0,19,67,4,2,5,0.714,0,T8,method,6,16,0,no
4,0,19,67,4,2,5,0.714,0,T8,method,3,10,0,no
4,0,19,67,4,2,5,0.714,0,T8,method,6,16,0,no
4,0,19,67,4,2,5,0.714,0,T8,method,6,16,0,no
4,0,19,67,4,2,5,0.714,0,T8,method,6,16,0,no
4,0,19,67,4,2,5,0.714,0,T8,method,6,16,0,no
4,0,19,67,4,2,5,0.714,0,T8,method,6,16,0,no
4,0,19,67,4,2,5,0.714,0,T8,method,2,2,0,no
4,0,19,67,4,2,5,0.714,0,T8,method,1,1,0,no
4,0,19,67,4,2,5,0.714,0,T8,method,2,2,0,no
4,0,19,67,4,2,5,0.714,0,T8,method,2,2,0,no
4,0,19,67,4,2,5,0.714,0,T9,method,6,16,0,no
4,0,19,67,4,2,5,0.714,0,T11,method,1,1,0,no
4,0,1,4,1,2,5,0.714,0,T9,method,0,0,0,no
4,0,1,4,1,2,5,0.714,0,T7,method,0,0,0,no
4,0,1,4,1,2,5,0.714,0,T9,method,0,0,0,no
4,0,1,4,1,2,5,0.714,0,T3,Z,0,0,0,no
4,0,1,4,1,2,5,0.714,0,T3,Z,0,0,0,no
4,0,1,4,1,2,5,0.714,0,T3,Z,0,0,0,no
4,0,1,4,1,2,5,0.714,0,T6,Z,0,0,0,no
4,0,1,4,1,2,5,0.714,0,T7,Z,0,0,0,no
4,0,1,4,1,2,5,0.714,0,T8,Z,0,0,0,no
4,0,1,4,1,2,5,0.714,0,T9,Z,0,0,0,no
4,0,1,4,1,2,5,0.714,0,T7,Z,1,1,0,no
4,0,1,4,1,2,5,0.714,0,T9,Z,1,1,0,no
4,0,1,5,1,2,5,0.714,0,T7,Z,0,0,0,no
4,0,1,5,1,2,5,0.714,0,T9,Z,0,0,0,no
4,0,3,15,3,2,5,0.714,0,T6,V,5,15,0,no
4,0,3,15,3,2,5,0.714,0,T6,V,5,15,0,no
4,0,3,15,3,2,5,0.714,0,T7,V,5,15,0,no
4,0,3,15,3,2,5,0.714,0,T8,V,5,15,0,no
4,0,3,15,3,2,5,0.714,0,T8,V,5,15,0,no
