@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
3,0,1,1,1,1,11,0.917,94,T12,V,2,3,0,yes
3,0,1,4,1,1,11,0.917,51,T12,V,2,3,0,yes
3,0,1,1,1,1,11,0.917,94,T3,V,2,3,0,no
3,0,1,1,1,1,11,0.917,94,T3,V,2,3,0,no
3,0,1,1,1,1,11,0.917,94,T12,V,2,3,0,no
3,0,1,1,1,1,11,0.917,94,T12,V,2,3,0,no
3,0,1,1,1,1,11,0.917,6,T12,V,1,1,0,no
3,0,1,3,1,1,11,0.917,0,T9,method,0,0,0,no
3,0,1,3,1,1,11,0.917,0,T9,method,0,0,0,no
3,0,3,14,3,1,11,0.917,45,T6,method,2,3,0,yes
3,0,3,14,3,1,11,0.917,24,T6,method,2,3,0,no
3,0,3,14,3,1,11,0.917,24,T7,method,2,3,0,yes
3,0,3,14,3,1,11,0.917,24,T7,method,2,3,0,no
3,0,3,14,3,1,11,0.917,45,T8,method,2,3,0,yes
3,0,3,14,3,1,11,0.917,24,T8,method,2,3,0,no
3,0,3,14,3,1,11,0.917,21,T9,method,2,3,0,yes
3,0,3,14,3,1,11,0.917,24,T9,method,2,3,0,no
3,0,3,14,3,1,11,0.917,24,T12,method,2,3,0,no
3,0,2,13,2,1,11,0.917,102,T6,method,2,3,0,yes
3,0,2,13,2,1,11,0.917,51,T7,method,2,3,0,yes
3,0,2,13,2,1,11,0.917,102,T8,method,2,3,0,yes
3,0,2,13,2,1,11,0.917,51,T9,method,2,3,0,yes
3,0,2,13,2,1,11,0.917,51,T9,method,2,3,0,yes
3,0,2,13,2,1,11,0.917,51,T12,method,2,3,0,no
3,0,3,14,3,1,11,0.917,45,T6,method,2,3,0,yes
3,0,3,14,3,1,11,0.917,24,T6,method,2,3,0,no
3,0,3,14,3,1,11,0.917,24,T7,method,2,3,0,yes
3,0,3,14,3,1,11,0.917,24,T7,method,2,3,0,no
3,0,3,14,3,1,11,0.917,45,T8,method,2,3,0,yes
3,0,3,14,3,1,11,0.917,24,T8,method,2,3,0,no
3,0,3,14,3,1,11,0.917,21,T9,method,2,3,0,yes
3,0,3,14,3,1,11,0.917,24,T9,method,2,3,0,no
3,0,3,14,3,1,11,0.917,24,T12,method,2,3,0,no
3,0,2,13,2,1,11,0.917,102,T6,method,2,3,0,yes
3,0,2,13,2,1,11,0.917,51,T7,method,2,3,0,yes
3,0,2,13,2,1,11,0.917,102,T8,method,2,3,0,yes
3,0,2,13,2,1,11,0.917,51,T9,method,2,3,0,yes
3,0,2,13,2,1,11,0.917,51,T9,method,2,3,0,yes
3,0,2,13,2,1,11,0.917,51,T12,method,2,3,0,no
3,0,1,4,1,1,11,0.917,0,T9,method,0,0,0,no
3,0,1,3,1,1,11,0.917,18,T9,method,2,3,0,yes
3,0,1,3,1,1,11,0.917,79,T9,method,2,3,0,yes
3,0,3,14,3,1,11,0.917,44,T6,method,2,3,0,yes
3,0,3,14,3,1,11,0.917,22,T6,method,2,3,0,no
3,0,3,14,3,1,11,0.917,22,T7,method,2,3,0,yes
3,0,3,14,3,1,11,0.917,22,T7,method,2,3,0,no
3,0,3,14,3,1,11,0.917,44,T8,method,2,3,0,yes
3,0,3,14,3,1,11,0.917,22,T8,method,2,3,0,no
3,0,3,14,3,1,11,0.917,22,T9,method,2,3,0,yes
3,0,3,14,3,1,11,0.917,22,T9,method,2,3,0,no
3,0,3,14,3,1,11,0.917,22,T12,method,2,3,0,no
3,0,2,13,2,1,11,0.917,66,T6,method,2,3,0,yes
3,0,2,13,2,1,11,0.917,33,T7,method,2,3,0,yes
3,0,2,13,2,1,11,0.917,66,T8,method,2,3,0,yes
