@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,1,3,1,11,13,0.542,0,T1,method,0,0,1,no
1,0,1,3,1,11,13,0.542,0,T7,method,0,0,1,no
1,0,1,3,1,11,13,0.542,0,T9,method,0,0,1,no
1,0,1,5,2,11,13,0.542,0,T6,method,0,0,1,no
1,0,1,5,2,11,13,0.542,0,T6,method,0,0,1,no
1,0,1,5,2,11,13,0.542,0,T6,method,0,0,1,no
1,0,1,5,2,11,13,0.542,0,T6,method,0,0,1,no
1,0,1,5,2,11,13,0.542,0,T7,method,0,0,1,no
1,0,1,5,2,11,13,0.542,0,T7,method,0,0,1,no
1,0,1,5,2,11,13,0.542,0,T7,method,0,0,1,no
1,0,1,5,2,11,13,0.542,0,T8,method,0,0,1,no
1,0,1,5,2,11,13,0.542,0,T8,method,0,0,1,no
1,0,1,5,2,11,13,0.542,0,T8,method,0,0,1,no
1,0,1,5,2,11,13,0.542,0,T8,method,0,0,1,no
1,0,1,5,2,11,13,0.542,0,T9,method,0,0,1,no
1,0,1,5,2,11,13,0.542,0,T10,method,0,0,1,no
1,0,1,5,2,11,13,0.542,0,T10,method,0,0,1,no
1,0,1,5,2,11,13,0.542,0,T10,method,0,0,1,no
1,0,1,5,2,11,13,0.542,0,T10,method,0,0,1,no
1,0,1,5,2,11,13,0.542,0,T10,method,0,0,1,no
1,0,1,5,2,11,13,0.542,0,T10,method,0,0,1,no
1,0,2,5,1,11,13,0.542,0,T3,C,43,51,1,no
1,0,2,5,1,11,13,0.542,0,T6,C,43,51,1,no
1,0,2,5,1,11,13,0.542,0,T7,C,43,51,1,no
1,0,2,5,1,11,13,0.542,0,T8,C,43,51,1,no
1,0,2,5,1,11,13,0.542,0,T9,C,43,51,1,no
1,0,2,5,1,11,13,0.542,0,T10,C,43,51,1,no
1,0,1,5,1,11,13,0.542,0,T3,C,43,51,1,no
1,0,1,5,1,11,13,0.542,0,T5,C,43,51,1,no
1,0,1,5,1,11,13,0.542,0,T7,C,43,51,1,no
1,0,1,5,1,11,13,0.542,0,T9,C,43,51,1,no
1,0,1,5,1,11,13,0.542,0,T12,C,43,51,1,no
1,0,18,47,5,11,13,0.542,0,T0,method,15,17,1,no
1,0,18,47,5,11,13,0.542,0,T0,method,6,6,1,no
1,0,18,47,5,11,13,0.542,0,T0,method,11,13,1,no
1,0,18,47,5,11,13,0.542,0,T0,method,11,13,1,no
1,0,18,47,5,11,13,0.542,0,T1,method,15,17,1,no
1,0,18,47,5,11,13,0.542,0,T1,method,6,6,1,no
1,0,18,47,5,11,13,0.542,0,T1,method,11,13,1,no
1,0,18,47,5,11,13,0.542,0,T3,method,15,17,1,no
1,0,18,47,5,11,13,0.542,0,T3,method,15,17,1,no
1,0,18,47,5,11,13,0.542,0,T3,method,15,17,1,no
1,0,18,47,5,11,13,0.542,0,T3,method,15,17,1,no
1,0,18,47,5,11,13,0.542,0,T3,method,15,17,1,no
1,0,18,47,5,11,13,0.542,0,T3,method,6,6,1,no
1,0,18,47,5,11,13,0.542,0,T3,method,6,6,1,no
1,0,18,47,5,11,13,0.542,0,T3,method,6,6,1,no
1,0,18,47,5,11,13,0.542,0,T3,method,6,6,1,no
1,0,18,47,5,11,13,0.542,0,T3,method,6,6,1,no
1,0,18,47,5,11,13,0.542,0,T3,method,6,6,1,no
1,0,18,47,5,11,13,0.542,0,T3,method,6,6,1,no
1,0,18,47,5,11,13,0.542,0,T3,method,5,5,1,no
1,0,18,47,5,11,13,0.542,0,T3,method,5,5,1,no
1,0,18,47,5,11,13,0.542,0,T3,method,6,6,1,no
1,0,18,47,5,11,13,0.542,0,T3,method,6,6,1,no
1,0,18,47,5,11,13,0.542,0,T3,method,6,6,1,no
1,0,18,47,5,11,13,0.542,0,T3,method,5,5,1,no
1,0,18,47,5,11,13,0.542,0,T3,method,6,6,1,no
1,0,18,47,5,11,13,0.542,0,T3,method,1,1,1,no
1,0,18,47,5,11,13,0.542,0,T3,method,6,6,1,no
1,0,18,47,5,11,13,0.542,0,T3,method,11,13,1,no
1,0,18,47,5,11,13,0.542,0,T3,method,11,13,1,no
1,0,18,47,5,11,13,0.542,0,T3,method,11,13,1,no
1,0,18,47,5,11,13,0.542,0,T3,method,11,13,1,no
1,0,18,47,5,11,13,0.542,0,T3,method,11,13,1,no
1,0,18,47,5,11,13,0.542,0,T3,method,11,13,1,no
1,0,18,47,5,11,13,0.542,0,T5,method,15,17,1,no
1,0,18,47,5,11,13,0.542,0,T5,method,15,17,1,no
1,0,18,47,5,11,13,0.542,0,T5,method,6,6,1,no
1,0,18,47,5,11,13,0.542,0,T5,method,6,6,1,no
1,0,18,47,5,11,13,0.542,0,T5,method,6,6,1,no
1,0,18,47,5,11,13,0.542,0,T5,method,6,6,1,no
1,0,18,47,5,11,13,0.542,0,T5,method,5,5,1,no
1,0,18,47,5,11,13,0.542,0,T5,method,6,6,1,no
1,0,18,47,5,11,13,0.542,0,T5,method,11,13,1,no
1,0,18,47,5,11,13,0.542,0,T5,method,11,13,1,no
1,0,18,47,5,11,13,0.542,0,T5,method,11,13,1,no
1,0,18,47,5,11,13,0.542,0,T5,method,11,13,1,no
1,0,18,47,5,11,13,0.542,0,T6,method,15,17,1,no
1,0,18,47,5,11,13,0.542,0,T6,method,15,17,1,no
1,0,18,47,5,11,13,0.542,0,T6,method,15,17,1,no
1,0,18,47,5,11,13,0.542,0,T6,method,15,17,1,no
1,0,18,47,5,11,13,0.542,0,T6,method,6,6,1,no
1,0,18,47,5,11,13,0.542,0,T6,method,6,6,1,no
1,0,18,47,5,11,13,0.542,0,T6,method,6,6,1,no
1,0,18,47,5,11,13,0.542,0,T6,method,6,6,1,no
1,0,18,47,5,11,13,0.542,0,T6,method,6,6,1,no
1,0,18,47,5,11,13,0.542,0,T6,method,6,6,1,no
1,0,18,47,5,11,13,0.542,0,T6,method,6,6,1,no
1,0,18,47,5,11,13,0.542,0,T6,method,5,5,1,no
1,0,18,47,5,11,13,0.542,0,T6,method,11,13,1,no
1,0,18,47,5,11,13,0.542,0,T6,method,11,13,1,no
1,0,18,47,5,11,13,0.542,0,T6,method,11,13,1,no
1,0,18,47,5,11,13,0.542,0,T6,method,11,13,1,no
1,0,18,47,5,11,13,0.542,0,T6,method,11,13,1,no
1,0,18,47,5,11,13,0.542,0,T7,method,6,6,1,no
1,0,18,47,5,11,13,0.542,0,T7,method,6,6,1,no
1,0,18,47,5,11,13,0.542,0,T7,method,5,5,1,no
1,0,18,47,5,11,13,0.542,0,T7,method,6,6,1,no
1,0,18,47,5,11,13,0.542,0,T7,method,5,5,1,no
1,0,18,47,5,11,13,0.542,0,T7,method,1,1,1,no
1,0,18,47,5,11,13,0.542,0,T7,method,0,0,1,no
1,0,18,47,5,11,13,0.542,0,T7,method,0,0,1,no
1,0,18,47,5,11,13,0.542,0,T8,method,15,17,1,no
1,0,18,47,5,11,13,0.542,0,T8,method,15,17,1,no
1,0,18,47,5,11,13,0.542,0,T8,method,15,17,1,no
1,0,18,47,5,11,13,0.542,0,T8,method,6,6,1,no
1,0,18,47,5,11,13,0.542,0,T8,method,6,6,1,no
1,0,18,47,5,11,13,0.542,0,T8,method,6,6,1,no
1,0,18,47,5,11,13,0.542,0,T8,method,6,6,1,no
1,0,18,47,5,11,13,0.542,0,T8,method,6,6,1,no
1,0,18,47,5,11,13,0.542,0,T8,method,6,6,1,no
1,0,18,47,5,11,13,0.542,0,T8,method,5,5,1,no
1,0,18,47,5,11,13,0.542,0,T8,method,11,13,1,no
1,0,18,47,5,11,13,0.542,0,T8,method,11,13,1,no
1,0,18,47,5,11,13,0.542,0,T8,method,11,13,1,no
1,0,18,47,5,11,13,0.542,0,T9,method,6,6,1,no
1,0,18,47,5,11,13,0.542,0,T9,method,11,13,1,no
1,0,18,47,5,11,13,0.542,0,T10,method,5,5,1,no
1,0,18,47,5,11,13,0.542,0,T10,method,11,13,1,no
1,0,18,47,5,11,13,0.542,0,T12,method,15,17,1,no
1,0,18,47,5,11,13,0.542,0,T12,method,15,17,1,no
1,0,18,47,5,11,13,0.542,0,T12,method,6,6,1,no
1,0,18,47,5,11,13,0.542,0,T12,method,5,5,1,no
1,0,18,47,5,11,13,0.542,0,T12,method,6,6,1,no
1,0,18,47,5,11,13,0.542,0,T12,method,11,13,1,no
1,0,18,47,5,11,13,0.542,0,T12,method,11,13,1,no
1,0,21,46,1,11,13,0.542,0,T3,method,23,30,1,no
1,0,21,46,1,11,13,0.542,0,T3,method,23,30,1,no
1,0,21,46,1,11,13,0.542,0,T3,method,23,30,1,no
1,0,21,46,1,11,13,0.542,0,T3,method,23,30,1,no
1,0,21,46,1,11,13,0.542,0,T3,method,23,30,1,no
1,0,21,46,1,11,13,0.542,0,T3,method,23,30,1,no
1,0,21,46,1,11,13,0.542,0,T3,method,23,30,1,no
1,0,21,46,1,11,13,0.542,0,T3,method,23,30,1,no
1,0,21,46,1,11,13,0.542,0,T3,method,23,30,1,no
1,0,21,46,1,11,13,0.542,0,T3,method,23,30,1,no
1,0,21,46,1,11,13,0.542,0,T3,method,23,30,1,no
1,0,21,46,1,11,13,0.542,0,T3,method,23,30,1,no
1,0,21,46,1,11,13,0.542,0,T3,method,23,30,1,no
1,0,21,46,1,11,13,0.542,0,T3,method,23,30,1,no
1,0,21,46,1,11,13,0.542,0,T3,method,23,30,1,no
1,0,21,46,1,11,13,0.542,0,T3,method,23,30,1,no
1,0,21,46,1,11,13,0.542,0,T3,method,23,30,1,no
1,0,21,46,1,11,13,0.542,0,T3,method,23,30,1,no
1,0,21,46,1,11,13,0.542,0,T3,method,1,1,1,no
1,0,21,46,1,11,13,0.542,0,T3,method,1,1,1,no
1,0,21,46,1,11,13,0.542,0,T3,method,1,1,1,no
1,0,21,46,1,11,13,0.542,0,T6,method,23,30,1,no
1,0,21,46,1,11,13,0.542,0,T6,method,23,30,1,no
1,0,21,46,1,11,13,0.542,0,T6,method,23,30,1,no
1,0,21,46,1,11,13,0.542,0,T6,method,23,30,1,no
1,0,21,46,1,11,13,0.542,0,T6,method,23,30,1,no
1,0,21,46,1,11,13,0.542,0,T6,method,23,30,1,no
1,0,21,46,1,11,13,0.542,0,T6,method,23,30,1,no
1,0,21,46,1,11,13,0.542,0,T6,method,23,30,1,no
