@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
3,0,6,30,3,1,0,0,0,T7,method,5,5,1,no
3,0,6,30,3,1,0,0,0,T7,method,5,5,1,no
3,0,6,30,3,1,0,0,0,T7,method,4,4,1,no
3,0,6,30,3,1,0,0,0,T7,method,4,4,1,no
3,0,6,30,3,1,0,0,0,T7,method,4,4,1,no
3,0,6,30,3,1,0,0,0,T7,method,4,4,1,no
3,0,6,30,3,1,0,0,0,T7,method,4,4,1,no
3,0,6,30,3,1,0,0,0,T7,method,4,4,1,no
3,0,6,30,3,1,0,0,0,T7,method,4,4,1,no
3,0,6,30,3,1,0,0,0,T7,method,1,1,1,no
3,0,6,30,3,1,0,0,0,T7,method,1,1,1,no
3,0,6,30,3,1,0,0,0,T7,method,1,1,1,no
3,0,6,30,3,1,0,0,0,T7,method,6,6,1,no
3,0,6,30,3,1,0,0,0,T7,method,3,3,1,no
3,0,6,30,3,1,0,0,0,T7,method,6,6,1,no
3,0,6,30,3,1,0,0,0,T8,method,6,6,1,no
3,0,6,30,3,1,0,0,0,T8,method,6,6,1,no
3,0,6,30,3,1,0,0,0,T8,method,5,5,1,no
3,0,6,30,3,1,0,0,0,T9,method,6,6,1,no
3,0,6,30,3,1,0,0,0,T10,method,6,6,1,no
1,0,1,3,1,4,3,0.429,0,T1,V,0,0,0,no
1,0,1,3,1,4,3,0.429,0,T3,V,0,0,0,no
1,0,1,3,1,4,3,0.429,18,T12,V,6,20,0,yes
1,0,3,14,2,4,3,0.429,102,T0,method,6,20,0,yes
1,0,3,14,2,4,3,0.429,42,T0,method,6,20,0,yes
1,0,3,14,2,4,3,0.429,63,T1,method,6,20,0,yes
1,0,3,14,2,4,3,0.429,102,T2,method,6,20,0,yes
1,0,3,14,2,4,3,0.429,42,T2,method,6,20,0,yes
1,0,3,14,2,4,3,0.429,102,T3,method,6,20,0,yes
1,0,3,14,2,4,3,0.429,42,T3,method,6,20,0,yes
