@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
2,0,1,4,1,7,9,0.562,61,T3,Z,16,0,0,yes
2,0,1,4,1,7,9,0.562,61,T3,Z,16,0,0,no
2,0,1,4,1,7,9,0.562,61,T6,Z,16,0,0,yes
2,0,1,4,1,7,9,0.562,61,T7,Z,16,0,0,yes
2,0,1,4,1,7,9,0.562,61,T7,Z,16,0,0,yes
2,0,1,4,1,7,9,0.562,61,T8,Z,16,0,0,no
2,0,1,4,1,7,9,0.562,61,T9,Z,16,0,0,yes
2,0,2,16,2,7,9,0.562,20,T0,[D,3,0,0,no
2,0,2,16,2,7,9,0.562,20,T3,[D,3,0,0,no
2,0,2,16,2,7,9,0.562,20,T3,[D,3,0,0,yes
2,0,2,16,2,7,9,0.562,20,T3,[D,3,0,0,yes
2,0,2,16,2,7,9,0.562,8,T5,[D,1,0,0,yes
2,0,2,16,2,7,9,0.562,8,T5,[D,1,0,0,yes
2,0,2,16,2,7,9,0.562,8,T5,[D,1,0,0,yes
2,0,2,16,2,7,9,0.562,8,T5,[D,1,0,0,yes
2,0,2,16,2,7,9,0.562,8,T5,[D,1,0,0,yes
2,0,2,16,2,7,9,0.562,8,T5,[D,1,0,0,yes
2,0,2,16,2,7,9,0.562,8,T5,[D,1,0,0,yes
2,0,2,16,2,7,9,0.562,8,T5,[D,1,0,0,yes
2,0,2,16,2,7,9,0.562,8,T5,[D,1,0,0,yes
2,0,2,16,2,7,9,0.562,12,T5,[D,3,0,0,yes
2,0,2,16,2,7,9,0.562,12,T5,[D,3,0,0,yes
2,0,2,16,2,7,9,0.562,12,T5,[D,3,0,0,yes
2,0,2,16,2,7,9,0.562,12,T5,[D,3,0,0,yes
2,0,2,16,2,7,9,0.562,12,T5,[D,3,0,0,yes
2,0,2,16,2,7,9,0.562,12,T5,[D,3,0,0,yes
2,0,2,16,2,7,9,0.562,12,T5,[D,3,0,0,yes
2,0,2,16,2,7,9,0.562,12,T5,[D,3,0,0,yes
2,0,2,16,2,7,9,0.562,12,T5,[D,3,0,0,yes
2,0,2,16,2,7,9,0.562,20,T6,[D,3,0,0,no
2,0,2,16,2,7,9,0.562,20,T7,[D,3,0,0,no
2,0,2,16,2,7,9,0.562,20,T7,[D,3,0,0,no
2,0,2,16,2,7,9,0.562,20,T9,[D,3,0,0,yes
